A0138556150     193600              70422   07/05/07   10000   1000007/06/07ALTO DAIRY                    
A0138556150     193600              70945   07/30/07   10000   1000008/01/07ALTO DAIRY                    
A0138556150     193600              71571   08/24/07   10000   1000009/04/07ALTO DAIRY                    
A0138556150     193600              71709   08/31/07   14000   1400008/31/07ALTO DAIRY                    
A0138556150     193600              71746   09/04/07   30000       209/18/07ALTO DAIRY                    
A0138556150     193600              72950   10/29/07   15000   1500010/31/07ALTO DAIRY                    
A0138556150     193600              73446   11/19/07   15000   1500011/20/07ALTO DAIRY                    
A0138556150     193600              74262   01/08/08   30000       101/18/08ALTO DAIRY                    
A0138556150     193600              74416   01/15/08   10000   1000001/18/08ALTO DAIRY                    
A0138557743     250229              48532   01/13/05   10000   1000001/13/05ALTO DAIRY                    
A0138557743     250229              49651   02/21/05   11000   1100002/22/05ALTO DAIRY                    
A0138557743     250229              51154   04/13/05       1       104/27/05ALTO DAIRY                    
A0138557743     250229              51507   04/27/05   10000   1000004/28/05ALTO DAIRY                    
A0138557743     250229              52522   06/06/05   10000   1000006/07/05ALTO DAIRY                    
A0138557743     250229              53426   07/11/05   11000   1100007/12/05ALTO DAIRY                    
A0138557743     250229              55416   09/26/05   20000   2000009/30/05ALTO DAIRY                    
A0138557743     250229              57059   11/30/05   10000   1000012/01/05ALTO DAIRY                    
A0138557743     250229              58214   01/23/06   20000   2000001/24/06ALTO DAIRY                    
A0138557743     250229              59455   03/14/06   10000   1000003/15/06ALTO DAIRY                    
A0138557743     250229              59967   04/03/06   10000   1000004/04/06ALTO DAIRY                    
A0138557743     250229              60255   04/17/06   10000   1000004/18/06ALTO DAIRY                    
A0138557743     250229              61009   05/17/06    6000    600005/18/06ALTO DAIRY                    
A0138557743     250229              61625   06/13/06   20000   2000006/16/06ALTO DAIRY                    
A0138557743     250229              63373   08/28/06   14000   1400008/29/06ALTO DAIRY                    
A0138557743     250229              63387   08/28/06   35000       109/08/06ALTO DAIRY                    
A0138557743     250229              64561   10/17/06   20000   2000010/17/06ALTO DAIRY                    
A0138557743     250229              65453   11/28/06   15000   1500011/29/06ALTO DAIRY                    
A0138557743     250229              65624   12/05/06   30000       112/11/06ALTO DAIRY                    
A0138557743     250229              66159   01/02/07   10000   1000001/03/07ALTO DAIRY                    
